number,value,datetime_start,datetime_complete,duration,params_Max_iter,params_SearchAgents_no,params_ap,params_e_loss,params_s_force,state,SearchAgents_no,Max_iter,s_force,e_loss,ap,best_value,record_type
126.0,0.0,2024-04-12 14:54:56.628667,2024-04-12 14:54:56.701667,0 days 00:00:00.073000,20.0,30.0,0.7000000000000001,0.77,0.1,COMPLETE,,,,,,,
127.0,0.0,2024-04-12 14:54:56.702666,2024-04-12 14:54:56.822669,0 days 00:00:00.120003,50.0,30.0,0.4,0.8300000000000001,0.2,COMPLETE,,,,,,,
128.0,0.0,2024-04-12 14:54:56.823667,2024-04-12 14:54:56.930665,0 days 00:00:00.106998,20.0,60.0,0.6,0.87,0.8,COMPLETE,,,,,,,
129.0,0.0,2024-04-12 14:54:56.931675,2024-04-12 14:54:57.071666,0 days 00:00:00.139991,40.0,50.0,0.30000000000000004,0.6900000000000001,1.0,COMPLETE,,,,,,,
130.0,0.0,2024-04-12 14:54:57.072676,2024-04-12 14:54:57.126444,0 days 00:00:00.053768,10.0,10.0,0.8,0.7100000000000001,0.4,COMPLETE,,,,,,,
131.0,0.0,2024-04-12 14:54:57.127642,2024-04-12 14:54:57.205193,0 days 00:00:00.077551,30.0,20.0,0.9,0.59,0.30000000000000004,COMPLETE,,,,,,,
132.0,0.0,2024-04-12 14:54:57.206191,2024-04-12 14:54:57.282193,0 days 00:00:00.076002,30.0,20.0,1.0,0.53,0.4,COMPLETE,,,,,,,
133.0,0.0,2024-04-12 14:54:57.284192,2024-04-12 14:54:57.365166,0 days 00:00:00.080974,30.0,20.0,0.8,0.63,0.7000000000000001,COMPLETE,,,,,,,
134.0,0.0,2024-04-12 14:54:57.366165,2024-04-12 14:54:57.433193,0 days 00:00:00.067028,20.0,20.0,0.9,0.55,0.5,COMPLETE,,,,,,,
135.0,0.0,2024-04-12 14:54:57.434196,2024-04-12 14:54:57.556192,0 days 00:00:00.121996,40.0,40.0,1.0,0.91,0.6,COMPLETE,,,,,,,
136.0,0.0,2024-04-12 14:54:57.558195,2024-04-12 14:54:57.648192,0 days 00:00:00.089997,30.0,30.0,0.9,0.65,0.9,COMPLETE,,,,,,,
137.0,0.0,2024-04-12 14:54:57.649193,2024-04-12 14:54:57.702193,0 days 00:00:00.053000,10.0,10.0,0.1,0.25,0.4,COMPLETE,,,,,,,
138.0,0.0,2024-04-12 14:54:57.703192,2024-04-12 14:54:57.768192,0 days 00:00:00.065000,20.0,20.0,0.8,0.67,1.0,COMPLETE,,,,,,,
139.0,0.0,2024-04-12 14:54:57.769192,2024-04-12 14:54:57.928194,0 days 00:00:00.159002,40.0,60.0,0.5,0.15000000000000002,0.30000000000000004,COMPLETE,,,,,,,
140.0,0.0,2024-04-12 14:54:57.929193,2024-04-12 14:54:57.994192,0 days 00:00:00.064999,10.0,30.0,0.4,0.5700000000000001,0.2,COMPLETE,,,,,,,
141.0,0.0,2024-04-12 14:54:57.995192,2024-04-12 14:54:58.067191,0 days 00:00:00.071999,20.0,30.0,0.5,0.06999999999999999,0.7000000000000001,COMPLETE,,,,,,,
142.0,0.0,2024-04-12 14:54:58.068194,2024-04-12 14:54:58.140194,0 days 00:00:00.072000,20.0,30.0,0.5,0.06999999999999999,0.8,COMPLETE,,,,,,,
