number,value,datetime_start,datetime_complete,duration,params_gene_max,params_gene_min,params_mutation_ratio,params_no_generations,params_population_size,params_var,state,population_size,mutation_ratio,no_generations,gene_min,gene_max,var,best_value,record_type
79.0,0.0028393892253315203,2024-04-26 00:45:30.951774,2024-04-26 00:45:31.179772,0 days 00:00:00.227998,380.0,-40.0,0.30000000000000004,100.0,290.0,1.0,COMPLETE,,,,,,,,
80.0,0.0002866105081071623,2024-04-26 00:45:31.180771,2024-04-26 00:45:31.944938,0 days 00:00:00.764167,420.0,-220.0,0.2,340.0,350.0,2.0,COMPLETE,,,,,,,,
81.0,0.00012357240665386254,2024-04-26 00:45:31.945933,2024-04-26 00:45:34.200816,0 days 00:00:02.254883,440.0,-120.0,0.30000000000000004,940.0,370.0,2.0,COMPLETE,,,,,,,,
82.0,0.0006558171390244453,2024-04-26 00:45:34.201813,2024-04-26 00:45:36.739938,0 days 00:00:02.538125,480.0,-100.0,0.4,940.0,410.0,2.0,COMPLETE,,,,,,,,
83.0,0.0005393805454905946,2024-04-26 00:45:36.740916,2024-04-26 00:45:38.581173,0 days 00:00:01.840257,440.0,-120.0,0.30000000000000004,860.0,330.0,2.0,COMPLETE,,,,,,,,
84.0,0.0002584013256807889,2024-04-26 00:45:38.582174,2024-04-26 00:45:40.692381,0 days 00:00:02.110207,500.0,-140.0,0.4,820.0,390.0,2.0,COMPLETE,,,,,,,,
85.0,0.0070032337996001085,2024-04-26 00:45:40.693381,2024-04-26 00:45:43.035890,0 days 00:00:02.342509,400.0,-180.0,0.30000000000000004,980.0,370.0,2.0,COMPLETE,,,,,,,,
86.0,0.0003168980226287072,2024-04-26 00:45:43.036890,2024-04-26 00:45:45.349104,0 days 00:00:02.312214,460.0,-280.0,0.2,900.0,410.0,2.0,COMPLETE,,,,,,,,
87.0,0.001482567886882483,2024-04-26 00:45:45.350104,2024-04-26 00:45:48.015418,0 days 00:00:02.665314,440.0,-60.0,0.30000000000000004,860.0,470.0,2.0,COMPLETE,,,,,,,,
88.0,0.0014166559552959285,2024-04-26 00:45:48.016418,2024-04-26 00:45:50.063099,0 days 00:00:02.046681,300.0,-200.0,0.1,780.0,430.0,2.0,COMPLETE,,,,,,,,
89.0,0.005116565050452981,2024-04-26 00:45:50.064099,2024-04-26 00:45:52.005307,0 days 00:00:01.941208,480.0,-160.0,0.4,940.0,310.0,2.0,COMPLETE,,,,,,,,
90.0,0.0011306939827421694,2024-04-26 00:45:52.006310,2024-04-26 00:45:52.433340,0 days 00:00:00.427030,360.0,-80.0,0.2,180.0,350.0,2.0,COMPLETE,,,,,,,,
91.0,0.00017679787746387993,2024-04-26 00:45:52.434394,2024-04-26 00:45:54.571099,0 days 00:00:02.136705,440.0,-120.0,0.30000000000000004,900.0,370.0,2.0,COMPLETE,,,,,,,,
92.0,0.0006238642662088044,2024-04-26 00:45:54.572098,2024-04-26 00:45:56.674596,0 days 00:00:02.102498,420.0,-100.0,0.30000000000000004,820.0,390.0,2.0,COMPLETE,,,,,,,,
93.0,0.0018766356160809362,2024-04-26 00:45:56.675596,2024-04-26 00:45:58.875151,0 days 00:00:02.199555,460.0,-160.0,0.4,900.0,370.0,2.0,COMPLETE,,,,,,,,
94.0,0.00040150942366129526,2024-04-26 00:45:58.877152,2024-04-26 00:46:00.732386,0 days 00:00:01.855234,400.0,-140.0,0.30000000000000004,860.0,330.0,2.0,COMPLETE,,,,,,,,
95.0,0.001514756009015863,2024-04-26 00:46:00.734368,2024-04-26 00:46:03.378201,0 days 00:00:02.643833,460.0,0.0,0.2,940.0,450.0,2.0,COMPLETE,,,,,,,,
96.0,0.0019039183190541638,2024-04-26 00:46:03.380199,2024-04-26 00:46:03.481180,0 days 00:00:00.100981,340.0,-120.0,0.30000000000000004,20.0,410.0,2.0,COMPLETE,,,,,,,,
