number,value,datetime_start,datetime_complete,duration,params_mutation_ratio,params_no_generations,params_population_size,params_var,state,population_size,mutation_ratio,no_generations,var,best_value,record_type
107.0,-987.8580500704213,2024-04-25 22:49:48.875315,2024-04-25 22:49:53.359339,0 days 00:00:04.484024,0.7000000000000001,500.0,670.0,2.0,COMPLETE,,,,,,
108.0,-987.0857915715053,2024-04-25 22:49:53.360340,2024-04-25 22:49:56.945239,0 days 00:00:03.584899,0.4,380.0,730.0,2.0,COMPLETE,,,,,,
109.0,-989.5619285189614,2024-04-25 22:49:56.946250,2024-04-25 22:50:01.080053,0 days 00:00:04.133803,0.6,560.0,560.0,2.0,COMPLETE,,,,,,
110.0,-987.8083031995643,2024-04-25 22:50:01.081178,2024-04-25 22:50:05.031402,0 days 00:00:03.950224,0.6,580.0,520.0,2.0,COMPLETE,,,,,,
111.0,-984.1927688732196,2024-04-25 22:50:05.032402,2024-04-25 22:50:08.520090,0 days 00:00:03.487688,0.6,480.0,560.0,2.0,COMPLETE,,,,,,
112.0,-984.1231859389806,2024-04-25 22:50:08.521116,2024-04-25 22:50:12.443335,0 days 00:00:03.922219,0.5,520.0,580.0,2.0,COMPLETE,,,,,,
113.0,-988.2803300132855,2024-04-25 22:50:12.445333,2024-04-25 22:50:18.243467,0 days 00:00:05.798134,0.7000000000000001,560.0,760.0,2.0,COMPLETE,,,,,,
114.0,-988.402118745614,2024-04-25 22:50:18.244586,2024-04-25 22:50:23.254817,0 days 00:00:05.010231,0.6,640.0,600.0,2.0,COMPLETE,,,,,,
115.0,-988.3198788855918,2024-04-25 22:50:23.256813,2024-04-25 22:50:27.250252,0 days 00:00:03.993439,0.5,440.0,690.0,2.0,COMPLETE,,,,,,
116.0,-988.7617950815027,2024-04-25 22:50:27.252232,2024-04-25 22:50:33.110909,0 days 00:00:05.858677,0.7000000000000001,540.0,800.0,2.0,COMPLETE,,,,,,
117.0,-980.542803375753,2024-04-25 22:50:33.112909,2024-04-25 22:50:34.822487,0 days 00:00:01.709578,0.6,700.0,190.0,2.0,COMPLETE,,,,,,
118.0,-988.8717100996823,2024-04-25 22:50:34.823486,2024-04-25 22:50:39.747574,0 days 00:00:04.924088,0.5,600.0,640.0,2.0,COMPLETE,,,,,,
119.0,-988.3021957963572,2024-04-25 22:50:39.749551,2024-04-25 22:50:45.362297,0 days 00:00:05.612746,0.6,500.0,830.0,2.0,COMPLETE,,,,,,
120.0,-989.0263510879132,2024-04-25 22:50:45.363286,2024-04-25 22:50:51.447937,0 days 00:00:06.084651,0.7000000000000001,640.0,710.0,2.0,COMPLETE,,,,,,
121.0,-987.9874503540259,2024-04-25 22:50:51.448921,2024-04-25 22:50:58.482916,0 days 00:00:07.033995,0.8,660.0,780.0,2.0,COMPLETE,,,,,,
122.0,-986.0680122471362,2024-04-25 22:50:58.484924,2024-04-25 22:51:01.764393,0 days 00:00:03.279469,0.5,460.0,560.0,2.0,COMPLETE,,,,,,
123.0,-987.6870312448682,2024-04-25 22:51:01.766369,2024-04-25 22:51:08.732269,0 days 00:00:06.965900,0.5,720.0,740.0,2.0,COMPLETE,,,,,,
124.0,-986.1119218924143,2024-04-25 22:51:08.733250,2024-04-25 22:51:12.489014,0 days 00:00:03.755764,0.7000000000000001,560.0,510.0,2.0,COMPLETE,,,,,,
125.0,-988.9700099403806,2024-04-25 22:51:12.490015,2024-04-25 22:51:19.695420,0 days 00:00:07.205405,0.8,800.0,670.0,2.0,COMPLETE,,,,,,
126.0,-989.090180057296,2024-04-25 22:51:19.696421,2024-04-25 22:51:26.620914,0 days 00:00:06.924493,0.4,760.0,720.0,2.0,COMPLETE,,,,,,
127.0,-987.219559678577,2024-04-25 22:51:26.621914,2024-04-25 22:51:31.301701,0 days 00:00:04.679787,0.5,580.0,620.0,2.0,COMPLETE,,,,,,
128.0,-989.5962088019476,2024-04-25 22:51:31.302725,2024-04-25 22:51:34.440338,0 days 00:00:03.137613,0.6,540.0,460.0,2.0,COMPLETE,,,,,,
129.0,-989.4658248370454,2024-04-25 22:51:34.441339,2024-04-25 22:51:37.404667,0 days 00:00:02.963328,0.6,480.0,480.0,2.0,COMPLETE,,,,,,
