number,value,datetime_start,datetime_complete,duration,params_mutation_ratio,params_no_generations,params_population_size,params_var,state,population_size,mutation_ratio,no_generations,var,best_value,record_type
125.0,0.00029507527911800573,2024-04-26 00:35:46.832187,2024-04-26 00:35:47.953165,0 days 00:00:01.120978,0.1,940.0,190.0,1.0,COMPLETE,,,,,,
126.0,0.002671867454517129,2024-04-26 00:35:47.954165,2024-04-26 00:35:48.553010,0 days 00:00:00.598845,0.2,820.0,110.0,1.0,COMPLETE,,,,,,
127.0,0.00011161502942268162,2024-04-26 00:35:48.554009,2024-04-26 00:35:49.446046,0 days 00:00:00.892037,0.1,980.0,150.0,1.0,COMPLETE,,,,,,
128.0,0.0004354123973508801,2024-04-26 00:35:49.447045,2024-04-26 00:35:50.750674,0 days 00:00:01.303629,0.1,860.0,250.0,1.0,COMPLETE,,,,,,
129.0,0.0020365603638240392,2024-04-26 00:35:50.752676,2024-04-26 00:35:51.768653,0 days 00:00:01.015977,0.2,940.0,170.0,1.0,COMPLETE,,,,,,
130.0,0.001160995940725104,2024-04-26 00:35:51.769673,2024-04-26 00:35:53.099805,0 days 00:00:01.330132,0.5,900.0,210.0,1.0,COMPLETE,,,,,,
131.0,0.004424417642859963,2024-04-26 00:35:53.100806,2024-04-26 00:35:53.882808,0 days 00:00:00.782002,0.1,980.0,130.0,1.0,COMPLETE,,,,,,
132.0,0.0020043462683144476,2024-04-26 00:35:53.883806,2024-04-26 00:35:54.784350,0 days 00:00:00.900544,0.1,980.0,150.0,1.0,COMPLETE,,,,,,
133.0,0.0016716122441679058,2024-04-26 00:35:54.786357,2024-04-26 00:35:55.357349,0 days 00:00:00.570992,0.1,540.0,170.0,1.0,COMPLETE,,,,,,
134.0,9.178469726085547e-05,2024-04-26 00:35:55.358349,2024-04-26 00:35:55.996350,0 days 00:00:00.638001,0.1,940.0,110.0,1.0,COMPLETE,,,,,,
135.0,0.00290945263900417,2024-04-26 00:35:55.997349,2024-04-26 00:35:56.420347,0 days 00:00:00.422998,0.1,940.0,70.0,1.0,COMPLETE,,,,,,
136.0,0.008304384925151917,2024-04-26 00:35:56.421348,2024-04-26 00:35:57.135797,0 days 00:00:00.714449,0.6,900.0,110.0,1.0,COMPLETE,,,,,,
137.0,0.0005553647383134864,2024-04-26 00:35:57.136797,2024-04-26 00:35:57.721149,0 days 00:00:00.584352,0.1,860.0,110.0,1.0,COMPLETE,,,,,,
138.0,0.0009659885296679448,2024-04-26 00:35:57.722168,2024-04-26 00:35:58.268145,0 days 00:00:00.545977,0.2,940.0,90.0,1.0,COMPLETE,,,,,,
139.0,0.003363339835198777,2024-04-26 00:35:58.269168,2024-04-26 00:35:58.926617,0 days 00:00:00.657449,0.1,820.0,130.0,1.0,COMPLETE,,,,,,
140.0,0.000623005169126652,2024-04-26 00:35:58.927619,2024-04-26 00:36:00.432618,0 days 00:00:01.504999,0.1,900.0,270.0,1.0,COMPLETE,,,,,,
141.0,0.00040452897127924174,2024-04-26 00:36:00.434601,2024-04-26 00:36:01.334480,0 days 00:00:00.899879,0.1,980.0,150.0,1.0,COMPLETE,,,,,,
142.0,0.00033615548042867014,2024-04-26 00:36:01.335503,2024-04-26 00:36:02.112504,0 days 00:00:00.777001,0.1,980.0,130.0,1.0,COMPLETE,,,,,,
143.0,0.00175746451481655,2024-04-26 00:36:02.114481,2024-04-26 00:36:04.902597,0 days 00:00:02.788116,0.1,940.0,470.0,1.0,COMPLETE,,,,,,
144.0,0.004146594203585218,2024-04-26 00:36:04.903597,2024-04-26 00:36:06.435626,0 days 00:00:01.532029,0.4,980.0,230.0,1.0,COMPLETE,,,,,,
145.0,0.0010968396112451297,2024-04-26 00:36:06.437604,2024-04-26 00:36:07.521335,0 days 00:00:01.083731,0.1,940.0,190.0,1.0,COMPLETE,,,,,,
